Dataset,Accuracy,Time(min),dimension_used
ArticularyWordRecognition,99.33333333333331,0.2586394985516866,1.0
AtrialFibrillation,20.0,0.023962704340616862,0.5
BasicMotions,100.0,0.016126473744710285,0.3333333333333333
Cricket,100.0,0.7151031335194905,1.0
DuckDuckGeese,60.0,0.19959906737009686,0.3985130111524163
ERing,98.14814814814815,0.01347709894180298,1.0
EigenWorms,84.7328244274809,9.692522819836936,0.5
Epilepsy,100.0,0.09900402625401816,0.6666666666666666
EthanolConcentration,43.34600760456273,1.8736749410629272,1.0
FaceDetection,62.684449489216796,2.8721261660257977,0.08333333333333333
FingerMovements,56.00000000000001,0.09752194484074912,0.25
HandMovementDirection,50.0,0.3991441011428833,0.9
Handwriting,59.529411764705884,0.10453631480534872,1.0
Heartbeat,74.14634146341461,0.5346299290657044,0.16393442622950818
LSST,54.62287104622872,0.5300292889277141,1.0
Libras,90.55555555555556,0.03621984322865804,1.0
MotorImagery,49.0,5.8409445206324255,0.25
NATOPS,88.33333333333331,0.0674373229344686,0.7916666666666666
PEMS-SF,84.97109826589595,0.4276741186777751,0.29179646936656284
PenDigits,98.19897084048029,0.8961529731750488,1.0
PhonemeSpectra,27.467939158962125,2.5036325891812643,0.18181818181818185
RacketSports,91.44736842105264,0.025481808185577392,0.6666666666666666
SelfRegulationSCP1,82.93515358361775,0.8139862855275471,0.3333333333333333
SelfRegulationSCP2,52.22222222222222,1.0567838986714682,0.5714285714285714
StandWalkJump,46.66666666666666,0.12338895797729492,0.75
UWaveGestureLibrary,94.0625,0.15278687874476116,1.0
