Dataset,Accuracy,Time(min),dimension_used
ArticularyWordRecognition,98.0,0.14223773876825968,0.2222222222222222
AtrialFibrillation,20.0,0.02756202220916748,0.5
BasicMotions,100.0,0.019408957163492842,0.3333333333333333
Cricket,98.61111111111113,0.6002079606056213,0.6666666666666666
DuckDuckGeese,48.0,0.18725268840789794,0.06988847583643122
ERing,93.33333333333331,0.009770349661509196,0.5
EigenWorms,82.44274809160305,8.098014493783317,0.3333333333333333
Epilepsy,95.65217391304348,0.0662528395652771,0.3333333333333333
EthanolConcentration,46.00760456273763,1.0334653258323672,0.3333333333333333
FaceDetection,62.6560726447219,2.853446372350057,0.08333333333333333
FingerMovements,56.00000000000001,0.09819920857747397,0.25
HandMovementDirection,48.64864864864865,0.3862516601880392,0.8
Handwriting,40.470588235294116,0.06252802610397339,0.3333333333333333
Heartbeat,71.70731707317074,0.5336010257403055,0.16393442622950818
LSST,38.523925385239245,0.3574811736742655,0.3333333333333333
Libras,73.33333333333333,0.030089728037516274,0.5
MotorImagery,49.0,5.822031362851461,0.25
NATOPS,88.33333333333331,0.06756386756896972,0.5
PEMS-SF,79.76878612716763,0.3983423948287964,0.053997923156801665
PenDigits,88.82218410520298,0.7592023452123006,0.5
PhonemeSpectra,27.438115120787355,2.5089895248413088,0.18181818181818185
RacketSports,77.63157894736842,0.015337828795115154,0.16666666666666666
SelfRegulationSCP1,81.56996587030717,1.0266363620758057,0.3333333333333333
SelfRegulationSCP2,52.22222222222222,1.0627987901369729,0.5714285714285714
StandWalkJump,53.33333333333334,0.07148103713989258,0.25
UWaveGestureLibrary,71.875,0.08634191751480103,0.3333333333333333
