Dataset,Accuracy,Time(min),dimension_used
ArticularyWordRecognition,99.33333333333331,13.67126247882843,1.0
AtrialFibrillation,40.0,0.16919051011403402,0.5
BasicMotions,100.0,0.04587851762771607,0.3333333333333333
Cricket,98.61111111111113,20.869660007953645,1.0
DuckDuckGeese,36.0,106.6635831872622,0.3985130111524163
ERing,87.77777777777777,0.14691619475682574,1.0
EigenWorms,70.22900763358778,300.66203196048735,0.5
Epilepsy,98.55072463768116,0.8078190326690674,0.6666666666666666
EthanolConcentration,55.51330798479087,29.919446090857193,1.0
FaceDetection,54.05788876276957,390.91867294708885,0.08333333333333333
FingerMovements,56.99999999999999,3.451564947764078,0.25
HandMovementDirection,18.918918918918923,16.464046649138133,0.9
Handwriting,47.411764705882355,4.23449909289678,1.0
Heartbeat,75.12195121951221,9.831860756874084,0.16393442622950818
LSST,58.79967558799676,19.82008846203486,1.0
Libras,87.22222222222223,0.5533231616020202,1.0
MotorImagery,57.99999999999999,195.61239438454308,0.25
NATOPS,85.55555555555556,4.489748605092367,0.7916666666666666
PEMS-SF,87.86127167630056,269.4791582743327,0.29179646936656284
PenDigits,92.28130360205832,3.167618381977081,1.0
PhonemeSpectra,26.096033402922764,253.8301168839137,0.18181818181818185
RacketSports,81.57894736842105,0.13682711919148766,0.6666666666666666
SelfRegulationSCP1,66.89419795221842,7.907989021142324,0.3333333333333333
SelfRegulationSCP2,48.33333333333334,13.287519768873851,0.5714285714285714
StandWalkJump,33.33333333333333,3.391645113627116,0.75
UWaveGestureLibrary,87.1875,4.643217305342357,1.0
