Dataset,Accuracy,Time(min),dimension_used
ArticularyWordRecognition,98.0,4.5591072956720975,0.2222222222222222
AtrialFibrillation,40.0,0.2495747168858846,0.5
BasicMotions,100.0,0.068509308497111,0.3333333333333333
Cricket,98.61111111111113,15.182484253247578,0.6666666666666666
DuckDuckGeese,42.0,21.829636597633357,0.06988847583643122
ERing,84.81481481481481,0.07098407745361328,0.5
EigenWorms,67.93893129770993,192.66012141307198,0.3333333333333333
Epilepsy,97.10144927536231,0.39011615912119546,0.3333333333333333
EthanolConcentration,58.17490494296578,12.485339371363322,0.3333333333333333
FaceDetection,54.05788876276957,389.28785092830657,0.08333333333333333
FingerMovements,56.99999999999999,3.1947797218958534,0.25
HandMovementDirection,18.918918918918923,15.214069736003875,0.8
Handwriting,35.05882352941177,1.5702766497929892,0.3333333333333333
Heartbeat,75.12195121951221,9.624407903353372,0.16393442622950818
LSST,43.714517437145176,9.436402571201324,0.3333333333333333
Libras,68.8888888888889,0.3071568250656128,0.5
MotorImagery,57.99999999999999,186.8604258815448,0.25
NATOPS,83.8888888888889,3.4606142044067383,0.5
PEMS-SF,88.4393063583815,37.95251367092133,0.053997923156801665
PenDigits,74.58547741566609,2.835562717914581,0.5
PhonemeSpectra,26.096033402922764,246.48488311370213,0.18181818181818185
RacketSports,68.42105263157895,0.033092729250590015,0.16666666666666666
SelfRegulationSCP1,66.89419795221842,8.255935887495676,0.3333333333333333
SelfRegulationSCP2,48.33333333333334,13.334322317441304,0.5714285714285714
StandWalkJump,40.0,0.8487613916397094,0.25
UWaveGestureLibrary,61.5625,2.0382997830708818,0.3333333333333333
