Dataset,Accuracy,Time(min),dimension_used
ArticularyWordRecognition,99.33333333333331,10.140171094735463,1.0
AtrialFibrillation,13.333333333333336,0.2753746231396993,0.5
BasicMotions,100.0,0.2311612884203593,0.3333333333333333
Cricket,100.0,18.27425934076309,1.0
DuckDuckGeese,40.0,134.40390775601068,0.3985130111524163
ERing,96.66666666666669,1.2344843864440918,1.0
EigenWorms,87.02290076335878,137.47718547185258,0.5
Epilepsy,100.0,1.6970552682876587,0.6666666666666666
EthanolConcentration,36.5019011406844,33.332715781529735,1.0
FaceDetection,59.080590238365495,85.71443172295888,0.08333333333333333
FingerMovements,48.0,3.460233660538991,0.25
HandMovementDirection,20.27027027027027,11.995348978042605,0.9
Handwriting,26.117647058823533,5.429869818687439,1.0
Heartbeat,75.12195121951221,19.757930656274162,0.16393442622950818
LSST,61.273317112733174,13.421945373217266,1.0
Libras,93.33333333333331,0.5649277766545614,1.0
MotorImagery,54.0,209.8477750857671,0.25
NATOPS,92.22222222222223,5.955354388554891,0.7916666666666666
PEMS-SF,93.64161849710982,179.68414998849232,0.29179646936656284
PenDigits,93.85363064608349,0.9416570583979288,1.0
PhonemeSpectra,28.83984491500149,43.701840380827576,0.18181818181818185
RacketSports,89.47368421052632,0.4898080984751384,0.6666666666666666
SelfRegulationSCP1,81.56996587030717,15.637817637125652,0.3333333333333333
SelfRegulationSCP2,52.22222222222222,24.325072546799973,0.5714285714285714
StandWalkJump,60.0,2.849948823451996,0.75
UWaveGestureLibrary,90.625,4.50885853767395,1.0
