Dataset,Accuracy,Time(min),dimension_used
ArticularyWordRecognition,99.33333333333331,16.796096909046174,1.0
AtrialFibrillation,13.333333333333336,0.4902779777844747,0.5
BasicMotions,100.0,0.43421047131220497,0.3333333333333333
Cricket,100.0,27.81200274229049,1.0
DuckDuckGeese,46.0,116.64198151032129,0.28773234200743497
ERing,96.66666666666669,2.2292564074198404,1.0
EigenWorms,90.83969465648858,207.3341501911481,0.6666666666666666
Epilepsy,100.0,2.9626953681310018,0.6666666666666666
EthanolConcentration,36.5019011406844,46.016047414143884,1.0
FaceDetection,60.81157775255392,102.1331154624621,0.08333333333333333
FingerMovements,53.0,5.250720906257629,0.21428571428571427
HandMovementDirection,31.08108108108108,17.77523383299509,0.8
Handwriting,26.117647058823533,9.315499003728233,1.0
Heartbeat,73.17073170731706,28.845791971683504,0.14754098360655735
LSST,61.273317112733174,21.53374349673589,1.0
Libras,93.33333333333331,1.1051459630330405,1.0
MotorImagery,52.0,217.50556966861092,0.234375
NATOPS,91.11111111111113,9.442600015799202,0.7083333333333334
PEMS-SF,94.21965317919077,229.9625984470049,0.3302180685358255
PenDigits,93.85363064608349,1.7484826326370242,1.0
PhonemeSpectra,28.83984491500149,58.65488855441411,0.18181818181818185
RacketSports,86.18421052631578,0.9281228383382162,0.6666666666666666
SelfRegulationSCP1,76.45051194539248,31.428227480252584,0.5
SelfRegulationSCP2,51.66666666666667,41.622094269593546,0.7142857142857143
StandWalkJump,40.0,3.2133320649464925,0.5
UWaveGestureLibrary,90.625,7.615486081441244,1.0
