Dataset,Accuracy,Time(min),dimension_used
ArticularyWordRecognition,99.33333333333331,17.473382480939232,1.0
AtrialFibrillation,13.333333333333336,0.4707831780115763,0.5
BasicMotions,100.0,0.4442962606747945,0.3333333333333333
Cricket,100.0,28.19566737016042,1.0
DuckDuckGeese,40.0,152.1844131708145,0.3977695167286245
ERing,96.66666666666669,2.4620501081148785,1.0
EigenWorms,87.02290076335878,149.38753457069396,0.5
Epilepsy,100.0,3.1253994186719263,0.6666666666666666
EthanolConcentration,36.5019011406844,46.167915844917296,1.0
FaceDetection,60.10215664018161,120.94132970174154,0.10416666666666667
FingerMovements,48.0,6.085485057036082,0.25
HandMovementDirection,20.27027027027027,20.35916236639023,0.9
Handwriting,26.117647058823533,9.998787248134613,1.0
Heartbeat,75.12195121951221,30.25697670380275,0.16393442622950818
LSST,61.273317112733174,22.610336863994604,1.0
Libras,93.33333333333331,1.0690198063850402,1.0
MotorImagery,54.0,230.75696604251863,0.25
NATOPS,92.22222222222223,10.599629426002503,0.7916666666666666
PEMS-SF,93.06358381502892,217.5286932150523,0.308411214953271
PenDigits,93.85363064608349,2.045178858439128,1.0
PhonemeSpectra,28.83984491500149,59.266600966453545,0.18181818181818185
RacketSports,89.47368421052632,1.0229027986526489,0.6666666666666666
SelfRegulationSCP1,81.56996587030717,25.165503962834677,0.3333333333333333
SelfRegulationSCP2,52.22222222222222,36.4568607211113,0.5714285714285714
StandWalkJump,60.0,4.885693232218425,0.75
UWaveGestureLibrary,90.625,7.9758774916330974,1.0
