Dataset,Accuracy,Time(min),dimension_used
ArticularyWordRecognition,99.33333333333331,10.241227916876477,1.0
AtrialFibrillation,13.333333333333336,0.3042053500811259,0.5
BasicMotions,100.0,0.2241141080856323,0.3333333333333333
Cricket,100.0,17.940925979614253,1.0
DuckDuckGeese,40.0,134.6115831295649,0.3977695167286245
ERing,96.66666666666669,1.200238013267517,1.0
EigenWorms,87.02290076335878,132.58340397675832,0.5
Epilepsy,100.0,1.7648628234863282,0.6666666666666666
EthanolConcentration,36.5019011406844,32.97765738964081,1.0
FaceDetection,60.10215664018161,108.04115091164907,0.10416666666666667
FingerMovements,48.0,3.3073510487874347,0.25
HandMovementDirection,20.27027027027027,11.821970609823866,0.9
Handwriting,26.117647058823533,5.226722013950348,1.0
Heartbeat,75.12195121951221,19.413181730111443,0.16393442622950818
LSST,61.273317112733174,12.76183032989502,1.0
Libras,93.33333333333331,0.555033536752065,1.0
MotorImagery,54.0,209.3474621931712,0.25
NATOPS,92.22222222222223,5.758693877855936,0.7916666666666666
PEMS-SF,93.06358381502892,195.05931089719132,0.308411214953271
PenDigits,93.85363064608349,0.9618880311648051,1.0
PhonemeSpectra,28.83984491500149,43.2564190308253,0.18181818181818185
RacketSports,89.47368421052632,0.5197096109390259,0.6666666666666666
SelfRegulationSCP1,81.56996587030717,15.595627311865487,0.3333333333333333
SelfRegulationSCP2,52.22222222222222,24.208087301254274,0.5714285714285714
StandWalkJump,60.0,2.8595600167910264,0.75
UWaveGestureLibrary,90.625,4.455197846889496,1.0
