Dataset,Accuracy,Time(min),dimension_used
ArticularyWordRecognition,98.0,2.3465661009152727,0.2222222222222222
AtrialFibrillation,13.333333333333336,0.25804272095362346,0.5
BasicMotions,100.0,0.19826672474543253,0.3333333333333333
Cricket,97.2222222222222,12.61821961402893,0.6666666666666666
DuckDuckGeese,50.0,27.442562961578368,0.06988847583643122
ERing,88.14814814814815,0.5969077189763387,0.5
EigenWorms,86.25954198473282,112.43188064495722,0.3333333333333333
Epilepsy,97.10144927536231,0.7631674130757651,0.3333333333333333
EthanolConcentration,44.106463878327,14.12408886750539,0.3333333333333333
FaceDetection,58.48467650397276,85.14410679340362,0.08333333333333333
FingerMovements,51.0,3.3197946906089784,0.25
HandMovementDirection,18.918918918918923,10.388593316078186,0.8
Handwriting,23.058823529411764,1.8523617585500078,0.3333333333333333
Heartbeat,74.63414634146342,18.919234796365107,0.16393442622950818
LSST,48.661800486618006,4.932911252975464,0.3333333333333333
Libras,80.55555555555556,0.23136682907740275,0.5
MotorImagery,56.99999999999999,204.68747843503948,0.25
NATOPS,87.22222222222223,3.8530418793360393,0.5
PEMS-SF,93.06358381502892,37.28730623722076,0.053997923156801665
PenDigits,84.90566037735849,0.4388099034627279,0.5
PhonemeSpectra,29.287205487623034,43.36873889366786,0.18181818181818185
RacketSports,68.42105263157895,0.11929904619852702,0.16666666666666666
SelfRegulationSCP1,76.79180887372011,15.50107913017273,0.3333333333333333
SelfRegulationSCP2,52.22222222222222,23.74696364800135,0.5714285714285714
StandWalkJump,33.33333333333333,0.9387512922286988,0.25
UWaveGestureLibrary,65.625,1.5671884258588156,0.3333333333333333
