Dataset,Accuracy,Time(min),dimension_used
ArticularyWordRecognition,99.33333333333331,6.0027481436729415,0.3333333333333333
AtrialFibrillation,13.333333333333336,0.5367394049962362,0.5
BasicMotions,100.0,0.4573988556861878,0.3333333333333333
Cricket,95.83333333333334,20.75477018356323,0.6666666666666666
DuckDuckGeese,50.0,110.83142488400141,0.2743494423791821
ERing,82.96296296296295,0.5394900560379028,0.25
EigenWorms,86.25954198473282,83.58586861292521,0.16666666666666666
Epilepsy,97.82608695652172,1.622208845615387,0.3333333333333333
EthanolConcentration,44.48669201520912,21.656271966298426,0.3333333333333333
FaceDetection,60.24404086265606,99.8487987001737,0.08333333333333333
FingerMovements,60.0,5.11597204208374,0.21428571428571427
HandMovementDirection,24.324324324324326,14.228695134321846,0.6
Handwriting,23.529411764705877,3.454714242617289,0.3333333333333333
Heartbeat,74.63414634146342,28.555196173985802,0.14754098360655735
LSST,54.33901054339011,13.176834905147553,0.5
Libras,75.0,0.5205140590667725,0.5
MotorImagery,63.0,212.61318936347956,0.234375
NATOPS,86.1111111111111,6.770405149459839,0.5
PEMS-SF,94.21965317919077,102.4921365737915,0.12980269989615786
PenDigits,84.90566037735849,0.8847132245699565,0.5
PhonemeSpectra,29.287205487623034,58.8093056122462,0.18181818181818185
RacketSports,81.57894736842105,0.474062983194987,0.3333333333333333
SelfRegulationSCP1,78.83959044368599,31.67758919397989,0.5
SelfRegulationSCP2,56.111111111111114,40.99561019341151,0.7142857142857143
StandWalkJump,46.66666666666666,3.4026349663734434,0.5
UWaveGestureLibrary,65.625,2.8450438777605687,0.3333333333333333
