Dataset,Accuracy,Time(min),dimension_used
ArticularyWordRecognition,98.0,3.71033787727356,0.2222222222222222
AtrialFibrillation,13.333333333333336,0.47174125512440995,0.5
BasicMotions,100.0,0.4166940212249756,0.3333333333333333
Cricket,97.2222222222222,19.550665581226347,0.6666666666666666
DuckDuckGeese,50.0,40.584023539225264,0.06988847583643122
ERing,82.96296296296295,0.511660385131836,0.25
EigenWorms,86.25954198473282,132.59252691666285,0.3333333333333333
Epilepsy,97.10144927536231,1.2753485918045044,0.3333333333333333
EthanolConcentration,44.106463878327,21.181166525681814,0.3333333333333333
FaceDetection,59.108967082860396,122.94169256289801,0.10416666666666667
FingerMovements,51.0,5.488595247268677,0.25
HandMovementDirection,18.918918918918923,17.447030452887216,0.8
Handwriting,23.058823529411764,3.059632682800293,0.3333333333333333
Heartbeat,74.63414634146342,29.6079485019048,0.16393442622950818
LSST,48.661800486618006,8.425199540456136,0.3333333333333333
Libras,75.0,0.4778760472933452,0.5
MotorImagery,56.99999999999999,234.34063633680344,0.25
NATOPS,87.77777777777777,6.576759592692058,0.5
PEMS-SF,91.90751445086704,72.61400134563445,0.08722741433021806
PenDigits,84.90566037735849,0.8015626072883606,0.5
PhonemeSpectra,29.287205487623034,58.12632332245509,0.18181818181818185
RacketSports,68.42105263157895,0.20523484150568644,0.16666666666666666
SelfRegulationSCP1,76.79180887372011,23.99860772291819,0.3333333333333333
SelfRegulationSCP2,52.22222222222222,35.524379217624656,0.5714285714285714
StandWalkJump,33.33333333333333,1.444498372077942,0.25
UWaveGestureLibrary,65.625,2.4909975012143453,0.3333333333333333
