Dataset,Accuracy,Time(min),dimension_used
ArticularyWordRecognition,98.0,2.2738729238510134,0.2222222222222222
AtrialFibrillation,13.333333333333336,0.2619990030924479,0.5
BasicMotions,100.0,0.19849764506022136,0.3333333333333333
Cricket,97.2222222222222,12.24085079431534,0.6666666666666666
DuckDuckGeese,50.0,26.938767806688947,0.06988847583643122
ERing,82.96296296296295,0.25742254257202146,0.25
EigenWorms,86.25954198473282,112.22166641553244,0.3333333333333333
Epilepsy,97.10144927536231,0.8370766599973043,0.3333333333333333
EthanolConcentration,44.106463878327,13.63006887435913,0.3333333333333333
FaceDetection,59.108967082860396,106.03421920140585,0.10416666666666667
FingerMovements,51.0,3.3871839205423986,0.25
HandMovementDirection,18.918918918918923,10.410152753194174,0.8
Handwriting,23.058823529411764,1.9442522327105205,0.3333333333333333
Heartbeat,74.63414634146342,19.568447041511536,0.16393442622950818
LSST,48.661800486618006,4.966186809539795,0.3333333333333333
Libras,75.0,0.2620958606402079,0.5
MotorImagery,56.99999999999999,203.99320269823073,0.25
NATOPS,87.77777777777777,4.000557800134023,0.5
PEMS-SF,91.90751445086704,59.169186802705134,0.08722741433021806
PenDigits,84.90566037735849,0.4744727810223897,0.5
PhonemeSpectra,29.287205487623034,43.53101388216019,0.18181818181818185
RacketSports,68.42105263157895,0.09125592311223348,0.16666666666666666
SelfRegulationSCP1,76.79180887372011,14.839899007479351,0.3333333333333333
SelfRegulationSCP2,52.22222222222222,24.43325046698252,0.5714285714285714
StandWalkJump,33.33333333333333,0.93418820699056,0.25
UWaveGestureLibrary,65.625,1.5771447857220968,0.3333333333333333
