Dataset,Time(min),Shape,dimension_used,size_full,reduced_size
ArticularyWordRecognition,0.01511915922164917,9,9,3187928,3187928
AtrialFibrillation,0.0004566550254821777,2,1,157808,78968
BasicMotions,0.0008310238520304362,6,2,224768,75008
Cricket,0.003948096434275309,6,6,6293504,6293504
DuckDuckGeese,0.09326457977294922,1345,536,154406128,61532928
ERing,0.0009999791781107584,4,4,78848,78848
EigenWorms,0.016023830572764082,6,3,110598272,55299200
Epilepsy,0.0008089264233907064,3,2,733352,488944
EthanolConcentration,0.0018914262453715003,3,3,11074880,11074880
FaceDetection,0.2205921014149984,144,12,536037248,44669888
FingerMovements,0.003925315539042155,28,7,4742656,1185760
HandMovementDirection,0.0019945065180460614,10,9,5337728,4803968
Handwriting,0.013524385293324788,3,3,608528,608528
Heartbeat,0.009302711486816408,61,10,42011072,6887168
LSST,0.008950455983479818,6,6,6255824,6255824
Libras,0.00409690539042155,2,2,178688,178688
MotorImagery,0.06282606919606527,64,16,429427840,107357056
NATOPS,0.004844637711842854,24,19,2350208,1860608
PEMS-SF,0.15045369466145833,963,281,331171976,96634904
PenDigits,0.0073283831278483065,2,2,2997728,2997728
PhonemeSpectra,0.0435404380162557,11,2,68262608,12411488
RacketSports,0.0009393692016601562,6,4,340784,227232
SelfRegulationSCP1,0.003353691101074219,6,2,11744960,3915072
SelfRegulationSCP2,0.003063893318176269,7,4,13092928,7481728
StandWalkJump,0.0006220539410909017,4,3,966656,725024
UWaveGestureLibrary,0.0015974442164103189,3,3,956288,956288
