Dataset,Time(min),Shape,dimension_used,size_full,reduced_size
ArticularyWordRecognition,0.012516367435455322,9,9,3187928,3187928
AtrialFibrillation,0.0003903230031331381,2,1,157808,78968
BasicMotions,0.0005934755007425943,6,2,224768,75008
Cricket,0.0028615355491638183,6,6,6293504,6293504
DuckDuckGeese,0.03958218097686768,1345,387,154406128,44427728
ERing,0.0008470535278320313,4,4,78848,78848
EigenWorms,0.0030409932136535645,6,4,110598272,73732224
Epilepsy,0.0005795876185099284,3,2,733352,488944
EthanolConcentration,0.0008318384488423665,3,3,11074880,11074880
FaceDetection,0.08290828069051108,144,12,536037248,44669888
FingerMovements,0.0018015146255493165,28,6,4742656,1016384
HandMovementDirection,0.0009157101313273114,10,8,5337728,4270208
Handwriting,0.01158532698949178,3,3,608528,608528
Heartbeat,0.003318830331166585,61,9,42011072,6198464
LSST,0.00524067481358846,6,6,6255824,6255824
Libras,0.0039821823438008636,2,2,178688,178688
MotorImagery,0.011972510814666748,64,15,429427840,100647248
NATOPS,0.002335623900095622,24,17,2350208,1664768
PEMS-SF,0.05028998454411825,963,318,331171976,109359056
PenDigits,0.0042846481005350745,2,2,2997728,2997728
PhonemeSpectra,0.028876896699269614,11,2,68262608,12411488
RacketSports,0.0006672024726867674,6,4,340784,227232
SelfRegulationSCP1,0.0012836217880249025,6,3,11744960,5872544
SelfRegulationSCP2,0.0011202812194824221,7,5,13092928,9352128
StandWalkJump,0.0004546523094177246,4,2,966656,483392
UWaveGestureLibrary,0.001293611526489258,3,3,956288,956288
