Dataset,Time(min),Shape,dimension_used,size_full,reduced_size
ArticularyWordRecognition,0.01303717295328776,9,9,3187928,3187928
AtrialFibrillation,0.00038616259892781577,2,1,157808,78968
BasicMotions,0.0005983988444010418,6,2,224768,75008
Cricket,0.0030103286107381185,6,6,6293504,6293504
DuckDuckGeese,0.04676650365193685,1345,535,154406128,61418128
ERing,0.0008507450421651204,4,4,78848,78848
EigenWorms,0.006770582993825277,6,3,110598272,55299200
Epilepsy,0.0005852500597635905,3,2,733352,488944
EthanolConcentration,0.0010022004445393881,3,3,11074880,11074880
FaceDetection,0.09048682451248168,144,15,536037248,55837328
FingerMovements,0.0018343289693196613,28,7,4742656,1185760
HandMovementDirection,0.0010523517926534017,10,9,5337728,4803968
Handwriting,0.01215893824895223,3,3,608528,608528
Heartbeat,0.004326538244883219,61,10,42011072,6887168
LSST,0.005464239915211996,6,6,6255824,6255824
Libras,0.0038287599881490072,2,2,178688,178688
MotorImagery,0.024607419967651367,64,16,429427840,107357056
NATOPS,0.0030004421869913736,24,19,2350208,1860608
PEMS-SF,0.058131837844848634,963,297,331171976,102137240
PenDigits,0.004175027211507161,2,2,2997728,2997728
PhonemeSpectra,0.03196810881296794,11,2,68262608,12411488
RacketSports,0.0006625294685363768,6,4,340784,227232
SelfRegulationSCP1,0.0017495433489481608,6,2,11744960,3915072
SelfRegulationSCP2,0.001308747132619222,7,4,13092928,7481728
StandWalkJump,0.00045635302861531574,4,3,966656,725024
UWaveGestureLibrary,0.0015460729598999025,3,3,956288,956288
