Dataset,Time(min),Shape,dimension_used,size_full,reduced_size
ArticularyWordRecognition,0.011567533016204834,9,2,3187928,708528
AtrialFibrillation,0.0004451831181844076,2,1,157808,78968
BasicMotions,0.0007577339808146157,6,2,224768,75008
Cricket,0.003319962819417317,6,4,6293504,4195712
DuckDuckGeese,0.09081564744313557,1345,94,154406128,10791328
ERing,0.0008620222409566244,4,2,78848,39488
EigenWorms,0.015203007062276203,6,2,110598272,36866176
Epilepsy,0.0007431228955586751,3,1,733352,244536
EthanolConcentration,0.0017885843912760415,3,1,11074880,3691712
FaceDetection,0.22128671010335285,144,12,536037248,44669888
FingerMovements,0.003979170322418213,28,7,4742656,1185760
HandMovementDirection,0.00195539395014445,10,8,5337728,4270208
Handwriting,0.007974000771840413,3,1,608528,202928
Heartbeat,0.009752897421518962,61,10,42011072,6887168
LSST,0.007308606306711833,6,2,6255824,2085360
Libras,0.003118908405303955,2,1,178688,89408
MotorImagery,0.06397785743077596,64,16,429427840,107357056
NATOPS,0.0043224891026814784,24,12,2350208,1175168
PEMS-SF,0.14178589185078938,963,52,331171976,17882720
PenDigits,0.006821417808532714,2,1,2997728,1498928
PhonemeSpectra,0.036718324820200605,11,2,68262608,12411488
RacketSports,0.0008993903795878092,6,1,340784,56904
SelfRegulationSCP1,0.002852344512939453,6,2,11744960,3915072
SelfRegulationSCP2,0.0030461827913920085,7,4,13092928,7481728
StandWalkJump,0.000638580322265625,4,1,966656,241760
UWaveGestureLibrary,0.001338366667429606,3,1,956288,318848
