Dataset,Time(min),Shape,dimension_used,size_full,reduced_size
ArticularyWordRecognition,0.00957179069519043,9,3,3187928,1062728
AtrialFibrillation,0.000383917490641276,2,1,157808,78968
BasicMotions,0.0005624969800313314,6,2,224768,75008
Cricket,0.0022707422574361163,6,4,6293504,4195712
DuckDuckGeese,0.04153246482213338,1345,369,154406128,42361328
ERing,0.0007611950238545736,4,1,78848,19808
EigenWorms,0.00437924861907959,6,1,110598272,18433152
Epilepsy,0.0005418658256530762,3,1,733352,244536
EthanolConcentration,0.0007794976234436035,3,1,11074880,3691712
FaceDetection,0.0828986922899882,144,12,536037248,44669888
FingerMovements,0.001727596918741862,28,6,4742656,1016384
HandMovementDirection,0.0008600314458211263,10,6,5337728,3202688
Handwriting,0.007777500152587891,3,1,608528,202928
Heartbeat,0.003195003668467204,61,9,42011072,6198464
LSST,0.004411931832631429,6,3,6255824,3127976
Libras,0.002895363171895345,2,1,178688,89408
MotorImagery,0.012372291088104248,64,15,429427840,100647248
NATOPS,0.0023742715517679853,24,12,2350208,1175168
PEMS-SF,0.048776106039683034,963,125,331171976,42987128
PenDigits,0.003872108459472656,2,1,2997728,1498928
PhonemeSpectra,0.02299230496088664,11,2,68262608,12411488
RacketSports,0.0006125013033548991,6,2,340784,113680
SelfRegulationSCP1,0.0011182228724161782,6,3,11744960,5872544
SelfRegulationSCP2,0.0013338327407836914,7,5,13092928,9352128
StandWalkJump,0.0004275719324747721,4,2,966656,483392
UWaveGestureLibrary,0.0010332028071085614,3,1,956288,318848
