Dataset,Time(min),Shape,dimension_used,size_full,reduced_size
ArticularyWordRecognition,0.009828023115793864,9,2,3187928,708528
AtrialFibrillation,0.00036703745524088537,2,1,157808,78968
BasicMotions,0.0005852659543355307,6,2,224768,75008
Cricket,0.002400803565979004,6,4,6293504,4195712
DuckDuckGeese,0.04843098322550456,1345,94,154406128,10791328
ERing,0.0007273475329081218,4,1,78848,19808
EigenWorms,0.0074574033419291174,6,2,110598272,36866176
Epilepsy,0.0005413413047790529,3,1,733352,244536
EthanolConcentration,0.0009714007377624512,3,1,11074880,3691712
FaceDetection,0.09200412432352703,144,15,536037248,55837328
FingerMovements,0.001896214485168457,28,7,4742656,1185760
HandMovementDirection,0.0009926438331604003,10,8,5337728,4270208
Handwriting,0.008032612005869548,3,1,608528,202928
Heartbeat,0.004390303293863932,61,10,42011072,6887168
LSST,0.004860190550486246,6,2,6255824,2085360
Libras,0.002907276153564453,2,1,178688,89408
MotorImagery,0.02433476845423381,64,16,429427840,107357056
NATOPS,0.0027159730593363444,24,12,2350208,1175168
PEMS-SF,0.059951400756835936,963,84,331171976,28887392
PenDigits,0.003900957107543945,2,1,2997728,1498928
PhonemeSpectra,0.023684426148732503,11,2,68262608,12411488
RacketSports,0.0006245573361714681,6,1,340784,56904
SelfRegulationSCP1,0.0016312758127848307,6,2,11744960,3915072
SelfRegulationSCP2,0.0013577024141947429,7,4,13092928,7481728
StandWalkJump,0.0004402240117390951,4,1,966656,241760
UWaveGestureLibrary,0.001061522960662842,3,1,956288,318848
