Dataset,Accuracy,Time(min),dimension_used
ArticularyWordRecognition,98.66666666666669,1.0219084620475771,1.0
AtrialFibrillation,33.33333333333333,0.04457135597864787,0.5
BasicMotions,100.0,0.007139829794565836,0.3333333333333333
Cricket,100.0,12.089509165287016,1.0
DuckDuckGeese,56.00000000000001,12.716068128744759,0.3985130111524163
ERing,91.48148148148148,0.017882013320922853,1.0
EigenWorms,58.01526717557252,2663.790221981208,0.5
Epilepsy,96.37681159420288,0.2623796780904134,0.6666666666666666
EthanolConcentration,32.31939163498099,110.2950393517812,1.0
FaceDetection,52.5255391600454,49.809210916360215,0.08333333333333333
FingerMovements,53.0,0.07897630532582603,0.25
HandMovementDirection,21.621621621621625,3.0795578440030416,0.9
Handwriting,60.70588235294117,0.7936110854148865,1.0
Heartbeat,71.70731707317074,11.506850981712342,0.16393442622950818
LSST,55.1094890510949,4.369742441177368,1.0
Libras,87.22222222222223,0.04341312646865845,1.0
MotorImagery,53.0,463.23666668732966,0.25
NATOPS,85.55555555555556,0.11884148518244425,0.7916666666666666
PEMS-SF,75.14450867052022,31.952840558687853,0.29179646936656284
PenDigits,97.71297884505432,7.030259172121683,1.0
PhonemeSpectra,15.120787354607813,100.52973752419152,0.18181818181818185
RacketSports,82.89473684210526,0.02705858548482259,0.6666666666666666
SelfRegulationSCP1,74.74402730375427,27.526860197385147,0.3333333333333333
SelfRegulationSCP2,54.444444444444436,37.05735911925635,0.5714285714285714
StandWalkJump,13.333333333333336,0.968527360757192,0.75
UWaveGestureLibrary,90.3125,3.2858748475710557,1.0
