Dataset,Accuracy,Time(min),dimension_used
ArticularyWordRecognition,98.66666666666669,3.9036460002263382,1.0
AtrialFibrillation,33.33333333333333,0.052488923072814934,0.5
BasicMotions,100.0,0.009669864177703857,0.3333333333333333
Cricket,100.0,22.03908578157425,1.0
DuckDuckGeese,56.00000000000001,22.411621312300362,0.28773234200743497
ERing,91.48148148148148,0.024984220663706463,1.0
EigenWorms,58.778625954198475,3283.9386783123023,0.6666666666666666
Epilepsy,92.7536231884058,0.4949788848559062,0.6666666666666666
EthanolConcentration,32.31939163498099,140.76228005886074,1.0
FaceDetection,53.376844494892175,63.6549153248469,0.08333333333333333
FingerMovements,53.0,0.09698213338851927,0.21428571428571427
HandMovementDirection,24.324324324324326,6.9905237158139535,0.8
Handwriting,60.70588235294117,2.4610431631406153,1.0
Heartbeat,71.70731707317074,24.20987617969513,0.14754098360655735
LSST,55.1094890510949,9.343659806251527,1.0
Libras,87.22222222222223,0.05704352458318075,1.0
MotorImagery,50.0,505.4201541225115,0.234375
NATOPS,86.1111111111111,0.22358771165212,0.7083333333333334
PEMS-SF,69.94219653179191,61.899185617764786,0.3302180685358255
PenDigits,97.71297884505432,14.537366302808126,1.0
PhonemeSpectra,15.120787354607813,134.04136613607406,0.18181818181818185
RacketSports,83.55263157894737,0.033167433738708486,0.6666666666666666
SelfRegulationSCP1,76.45051194539248,52.65438728729884,0.5
SelfRegulationSCP2,52.77777777777778,69.62418919801712,0.7142857142857143
StandWalkJump,26.66666666666667,1.4338183561960856,0.5
UWaveGestureLibrary,90.3125,6.494071058432262,1.0
