Dataset,Accuracy,Time(min),dimension_used
ArticularyWordRecognition,98.66666666666669,3.9980727831522618,1.0
AtrialFibrillation,33.33333333333333,0.06632484594980875,0.5
BasicMotions,100.0,0.01026696761449178,0.3333333333333333
Cricket,100.0,22.3717636624972,1.0
DuckDuckGeese,56.00000000000001,27.17659505208333,0.3977695167286245
ERing,91.48148148148148,0.02930452823638916,1.0
EigenWorms,58.01526717557252,2754.1813856959343,0.5
Epilepsy,96.37681159420288,0.4920554002126058,0.6666666666666666
EthanolConcentration,32.31939163498099,142.36168710390723,1.0
FaceDetection,53.71736662883088,76.46132071018219,0.10416666666666667
FingerMovements,53.0,0.13139386574427284,0.25
HandMovementDirection,21.621621621621625,6.362575344244639,0.9
Handwriting,60.70588235294117,2.512353487809499,1.0
Heartbeat,71.70731707317074,25.624014445145928,0.16393442622950818
LSST,55.1094890510949,9.694955539703367,1.0
Libras,87.22222222222223,0.06524386008580525,1.0
MotorImagery,53.0,538.268842470646,0.25
NATOPS,85.55555555555556,0.2468733032544454,0.7916666666666666
PEMS-SF,72.83236994219651,58.762245202064506,0.308411214953271
PenDigits,97.71297884505432,14.639090963204698,1.0
PhonemeSpectra,15.120787354607813,133.4298251549403,0.18181818181818185
RacketSports,82.89473684210526,0.037953356901804604,0.6666666666666666
SelfRegulationSCP1,74.74402730375427,48.98460261821746,0.3333333333333333
SelfRegulationSCP2,54.444444444444436,55.25007350444794,0.5714285714285714
StandWalkJump,13.333333333333336,1.4649619619051617,0.75
UWaveGestureLibrary,90.3125,7.412133196989695,1.0
