Dataset,Accuracy,Time(min),dimension_used
ArticularyWordRecognition,93.66666666666669,0.36468651294708254,0.2222222222222222
AtrialFibrillation,33.33333333333333,0.03596128225326538,0.5
BasicMotions,100.0,0.004776994387308757,0.3333333333333333
Cricket,95.83333333333334,8.767464518547058,0.6666666666666666
DuckDuckGeese,57.99999999999999,2.73115953207016,0.06988847583643122
ERing,78.8888888888889,0.015454248587290447,0.5
EigenWorms,58.01526717557252,2159.6149631301564,0.3333333333333333
Epilepsy,95.65217391304348,0.1279078761736552,0.3333333333333333
EthanolConcentration,28.136882129277573,54.09509296814601,0.3333333333333333
FaceDetection,52.5255391600454,51.283088477452594,0.08333333333333333
FingerMovements,53.0,0.06332677205403646,0.25
HandMovementDirection,25.675675675675674,2.8136312047640484,0.8
Handwriting,34.94117647058824,0.5064013719558715,0.3333333333333333
Heartbeat,71.70731707317074,10.552976600329082,0.16393442622950818
LSST,43.673965936739656,3.4318942228953038,0.3333333333333333
Libras,62.22222222222222,0.026964696248372395,0.5
MotorImagery,53.0,463.1510162432989,0.25
NATOPS,85.55555555555556,0.09942326545715333,0.5
PEMS-SF,71.67630057803468,4.429075117905935,0.053997923156801665
PenDigits,79.10234419668382,6.156480272610983,0.5
PhonemeSpectra,15.120787354607813,100.66969319184619,0.18181818181818185
RacketSports,71.71052631578947,0.01583255926767985,0.16666666666666666
SelfRegulationSCP1,74.74402730375427,26.080031645298003,0.3333333333333333
SelfRegulationSCP2,54.444444444444436,35.33263261318207,0.5714285714285714
StandWalkJump,26.66666666666667,0.5205123702685038,0.25
UWaveGestureLibrary,55.00000000000001,0.7042780121167501,0.3333333333333333
