Dataset,Accuracy,Time(min),dimension_used
ArticularyWordRecognition,96.33333333333334,0.9933006644248964,0.3333333333333333
AtrialFibrillation,33.33333333333333,0.06686419248580933,0.5
BasicMotions,100.0,0.008341773351033529,0.3333333333333333
Cricket,95.83333333333334,15.879252779483796,0.6666666666666666
DuckDuckGeese,56.00000000000001,17.51208552122116,0.2743494423791821
ERing,74.81481481481481,0.0216636856396993,0.25
EigenWorms,43.51145038167939,1778.0834025025367,0.16666666666666666
Epilepsy,86.23188405797102,0.2940896511077881,0.3333333333333333
EthanolConcentration,22.81368821292776,75.49444402853648,0.3333333333333333
FaceDetection,53.376844494892175,65.26695568561554,0.08333333333333333
FingerMovements,53.0,0.11939820051193235,0.21428571428571427
HandMovementDirection,27.02702702702703,5.377756361166637,0.6
Handwriting,30.0,1.0463443835576376,0.3333333333333333
Heartbeat,71.70731707317074,24.364374351501464,0.14754098360655735
LSST,48.296836982968365,6.9703648686409005,0.5
Libras,52.77777777777778,0.05719862381617227,0.5
MotorImagery,50.0,470.1397920846939,0.234375
NATOPS,85.55555555555556,0.16585121949513754,0.5
PEMS-SF,73.98843930635837,18.82357423702876,0.12980269989615786
PenDigits,79.10234419668382,11.271475334962211,0.5
PhonemeSpectra,15.120787354607813,126.32151461839676,0.18181818181818185
RacketSports,82.23684210526315,0.029425052801767982,0.3333333333333333
SelfRegulationSCP1,76.45051194539248,58.82561844984691,0.5
SelfRegulationSCP2,52.77777777777778,59.955939086278285,0.7142857142857143
StandWalkJump,26.66666666666667,1.4688589612642924,0.5
UWaveGestureLibrary,55.00000000000001,1.4552084922790527,0.3333333333333333
