Dataset,Accuracy,Time(min),dimension_used
ArticularyWordRecognition,93.66666666666669,0.7808075388272603,0.2222222222222222
AtrialFibrillation,33.33333333333333,0.05026947657267253,0.5
BasicMotions,100.0,0.011627586682637532,0.3333333333333333
Cricket,95.83333333333334,21.061277977625533,0.6666666666666666
DuckDuckGeese,57.99999999999999,5.5911644220352175,0.06988847583643122
ERing,74.81481481481481,0.018172057469685872,0.25
EigenWorms,58.01526717557252,2179.0844263354943,0.3333333333333333
Epilepsy,95.65217391304348,0.25830411513646445,0.3333333333333333
EthanolConcentration,28.136882129277573,82.07340339819591,0.3333333333333333
FaceDetection,53.71736662883088,76.95935422976812,0.10416666666666667
FingerMovements,53.0,0.11257388194402057,0.25
HandMovementDirection,25.675675675675674,6.548544859886169,0.8
Handwriting,34.94117647058824,1.1441608746846517,0.3333333333333333
Heartbeat,71.70731707317074,25.469398415088648,0.16393442622950818
LSST,43.673965936739656,6.9420425534248364,0.3333333333333333
Libras,52.77777777777778,0.049470702807108566,0.5
MotorImagery,53.0,537.2470206101735,0.25
NATOPS,85.55555555555556,0.17197508811950685,0.5
PEMS-SF,72.25433526011561,14.271786173184712,0.08722741433021806
PenDigits,79.10234419668382,13.239285480976104,0.5
PhonemeSpectra,15.120787354607813,131.34594459136326,0.18181818181818185
RacketSports,71.71052631578947,0.023455039660135905,0.16666666666666666
SelfRegulationSCP1,74.74402730375427,50.418518781661994,0.3333333333333333
SelfRegulationSCP2,54.444444444444436,62.150906940301255,0.5714285714285714
StandWalkJump,26.66666666666667,0.9861377477645874,0.25
UWaveGestureLibrary,55.00000000000001,1.4206194519996642,0.3333333333333333
